Name,Specialization,Experience (years),Degrees,Address,City,State,Contact,Email,Rating,Popular Reviews,Hospital,Consultation Fee (INR)
Dr. Arjun Chopra,Pediatrician,15,"DNB, MD, MCh","Suryaraopet, Vijayawada, Andhra Pradesh",Vijayawada,Andhra Pradesh,+91 7931814072,dr..arjun.chopra@vijayawada.hospital.com,4.3,Explained the condition very clearly.; Highly recommended for specialized care.; Highly professional and caring.,Manipal Hospitals,1494
Dr. Advait Roy,Orthopedic,4,"MCh, PhD, MBBS","Kothapet, Guntur, Andhra Pradesh",Guntur,Andhra Pradesh,+91 8878689174,dr..advait.roy@guntur.hospital.com,3.8,Highly recommended for specialized care.; Patient and compassionate treatment.; Highly professional and caring.,Government General Hospital,1754
Dr. Naina Iyer,Neurologist,21,"MBBS, PhD","Siripuram, Visakhapatnam, Andhra Pradesh",Visakhapatnam,Andhra Pradesh,+91 8396854665,dr..naina.iyer@visakhapatnam.hospital.com,3.7,Patient and compassionate treatment.; Explained the condition very clearly.; Took time to address all concerns.,Care Hospitals,1670
Dr. Ashwin Patel,Orthopedic,6,DNB,"MVP Colony, Visakhapatnam, Andhra Pradesh",Visakhapatnam,Andhra Pradesh,+91 7968926140,dr..ashwin.patel@visakhapatnam.hospital.com,4.8,Highly recommended for specialized care.; Patient and compassionate treatment.; Highly professional and caring.,Seven Hills Hospital,385
Dr. Kavya Joshi,Pediatrician,10,"PhD, DM","Patamata, Vijayawada, Andhra Pradesh",Vijayawada,Andhra Pradesh,+91 7959360797,dr..kavya.joshi@vijayawada.hospital.com,4.2,Took time to address all concerns.; Patient and compassionate treatment.; Explained the condition very clearly.,Manipal Hospitals,1304
Dr. Nikhil Ojha,General Physician,33,MD,"Dwaraka Nagar, Visakhapatnam, Andhra Pradesh",Visakhapatnam,Andhra Pradesh,+91 8814333665,dr..nikhil.ojha@visakhapatnam.hospital.com,3.8,Took time to address all concerns.; Highly recommended for specialized care.; Highly professional and caring.,Seven Hills Hospital,589
Dr. Aryan Nigam,Neurologist,32,MS,"Patamata, Vijayawada, Andhra Pradesh",Vijayawada,Andhra Pradesh,+91 8970541512,dr..aryan.nigam@vijayawada.hospital.com,3.9,Highly recommended for specialized care.; Patient and compassionate treatment.; Highly professional and caring.,Manipal Hospitals,1782
Dr. Ritu Thakur,Gynecologist,22,DNB,"Patamata, Vijayawada, Andhra Pradesh",Vijayawada,Andhra Pradesh,+91 7988964913,dr..ritu.thakur@vijayawada.hospital.com,4.8,Highly professional and caring.; Highly recommended for specialized care.; Explained the condition very clearly.,Andhra Hospitals,1510
Dr. Aryan Mathur,General Physician,37,MD,"Seethammadhara, Visakhapatnam, Andhra Pradesh",Visakhapatnam,Andhra Pradesh,+91 8101860532,dr..aryan.mathur@visakhapatnam.hospital.com,3.8,Highly recommended for specialized care.; Explained the condition very clearly.; Patient and compassionate treatment.,Seven Hills Hospital,1514
Dr. Diya Chaudhary,Cardiologist,7,MS,"Gajuwaka, Visakhapatnam, Andhra Pradesh",Visakhapatnam,Andhra Pradesh,+91 7720858696,dr..diya.chaudhary@visakhapatnam.hospital.com,3.7,Patient and compassionate treatment.; Explained the condition very clearly.; Highly recommended for specialized care.,Care Hospitals,1273
Dr. Nikhil Verma,ENT Specialist,31,"PhD, DM","Suryaraopet, Vijayawada, Andhra Pradesh",Vijayawada,Andhra Pradesh,+91 8426691436,dr..nikhil.verma@vijayawada.hospital.com,4.4,Took time to address all concerns.; Highly recommended for specialized care.; Explained the condition very clearly.,Manipal Hospitals,1499
Dr. Mira Ghosh,Neurologist,8,"DM, MBBS","Suryaraopet, Vijayawada, Andhra Pradesh",Vijayawada,Andhra Pradesh,+91 7514214118,dr..mira.ghosh@vijayawada.hospital.com,3.9,Highly professional and caring.; Patient and compassionate treatment.; Explained the condition very clearly.,Andhra Hospitals,520
Dr. Aditya Mishra,Pediatrician,27,MCh,"MVP Colony, Visakhapatnam, Andhra Pradesh",Visakhapatnam,Andhra Pradesh,+91 8482854048,dr..aditya.mishra@visakhapatnam.hospital.com,3.6,Took time to address all concerns.; Explained the condition very clearly.; Highly recommended for specialized care.,Seven Hills Hospital,1612
Dr. Neha Ojha,Neurologist,10,"DNB, MCh, DM","Gajuwaka, Visakhapatnam, Andhra Pradesh",Visakhapatnam,Andhra Pradesh,+91 8897171814,dr..neha.ojha@visakhapatnam.hospital.com,3.7,Highly recommended for specialized care.; Explained the condition very clearly.; Took time to address all concerns.,Seven Hills Hospital,607
